row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,global_positive_Batch1_C32.mzXML Peak status,global_positive_Batch1_C32.mzXML Peak name,global_positive_Batch1_C32.mzXML Peak m/z,global_positive_Batch1_C32.mzXML Peak RT,global_positive_Batch1_C32.mzXML Peak RT start,global_positive_Batch1_C32.mzXML Peak RT end,global_positive_Batch1_C32.mzXML Peak duration time,global_positive_Batch1_C32.mzXML Peak height,global_positive_Batch1_C32.mzXML Peak area,global_positive_Batch1_C32.mzXML Peak charge,global_positive_Batch1_C32.mzXML Peak # data points,global_positive_Batch1_C32.mzXML Peak FWHM,global_positive_Batch1_C32.mzXML Peak tailing factor,global_positive_Batch1_C32.mzXML Peak asymmetry factor,global_positive_Batch1_C32.mzXML Peak m/z min,global_positive_Batch1_C32.mzXML Peak m/z max,global_positive_Batch1_C31.mzXML Peak status,global_positive_Batch1_C31.mzXML Peak name,global_positive_Batch1_C31.mzXML Peak m/z,global_positive_Batch1_C31.mzXML Peak RT,global_positive_Batch1_C31.mzXML Peak RT start,global_positive_Batch1_C31.mzXML Peak RT end,global_positive_Batch1_C31.mzXML Peak duration time,global_positive_Batch1_C31.mzXML Peak height,global_positive_Batch1_C31.mzXML Peak area,global_positive_Batch1_C31.mzXML Peak charge,global_positive_Batch1_C31.mzXML Peak # data points,global_positive_Batch1_C31.mzXML Peak FWHM,global_positive_Batch1_C31.mzXML Peak tailing factor,global_positive_Batch1_C31.mzXML Peak asymmetry factor,global_positive_Batch1_C31.mzXML Peak m/z min,global_positive_Batch1_C31.mzXML Peak m/z max,global_positive_Batch1_A2.mzXML Peak status,global_positive_Batch1_A2.mzXML Peak name,global_positive_Batch1_A2.mzXML Peak m/z,global_positive_Batch1_A2.mzXML Peak RT,global_positive_Batch1_A2.mzXML Peak RT start,global_positive_Batch1_A2.mzXML Peak RT end,global_positive_Batch1_A2.mzXML Peak duration time,global_positive_Batch1_A2.mzXML Peak height,global_positive_Batch1_A2.mzXML Peak area,global_positive_Batch1_A2.mzXML Peak charge,global_positive_Batch1_A2.mzXML Peak # data points,global_positive_Batch1_A2.mzXML Peak FWHM,global_positive_Batch1_A2.mzXML Peak tailing factor,global_positive_Batch1_A2.mzXML Peak asymmetry factor,global_positive_Batch1_A2.mzXML Peak m/z min,global_positive_Batch1_A2.mzXML Peak m/z max,global_positive_Batch1_A1.mzXML Peak status,global_positive_Batch1_A1.mzXML Peak name,global_positive_Batch1_A1.mzXML Peak m/z,global_positive_Batch1_A1.mzXML Peak RT,global_positive_Batch1_A1.mzXML Peak RT start,global_positive_Batch1_A1.mzXML Peak RT end,global_positive_Batch1_A1.mzXML Peak duration time,global_positive_Batch1_A1.mzXML Peak height,global_positive_Batch1_A1.mzXML Peak area,global_positive_Batch1_A1.mzXML Peak charge,global_positive_Batch1_A1.mzXML Peak # data points,global_positive_Batch1_A1.mzXML Peak FWHM,global_positive_Batch1_A1.mzXML Peak tailing factor,global_positive_Batch1_A1.mzXML Peak asymmetry factor,global_positive_Batch1_A1.mzXML Peak m/z min,global_positive_Batch1_A1.mzXML Peak m/z max,global_positive_Batch2_QC10.mzXML Peak status,global_positive_Batch2_QC10.mzXML Peak name,global_positive_Batch2_QC10.mzXML Peak m/z,global_positive_Batch2_QC10.mzXML Peak RT,global_positive_Batch2_QC10.mzXML Peak RT start,global_positive_Batch2_QC10.mzXML Peak RT end,global_positive_Batch2_QC10.mzXML Peak duration time,global_positive_Batch2_QC10.mzXML Peak height,global_positive_Batch2_QC10.mzXML Peak area,global_positive_Batch2_QC10.mzXML Peak charge,global_positive_Batch2_QC10.mzXML Peak # data points,global_positive_Batch2_QC10.mzXML Peak FWHM,global_positive_Batch2_QC10.mzXML Peak tailing factor,global_positive_Batch2_QC10.mzXML Peak asymmetry factor,global_positive_Batch2_QC10.mzXML Peak m/z min,global_positive_Batch2_QC10.mzXML Peak m/z max,global_positive_Batch2_QC11.mzXML Peak status,global_positive_Batch2_QC11.mzXML Peak name,global_positive_Batch2_QC11.mzXML Peak m/z,global_positive_Batch2_QC11.mzXML Peak RT,global_positive_Batch2_QC11.mzXML Peak RT start,global_positive_Batch2_QC11.mzXML Peak RT end,global_positive_Batch2_QC11.mzXML Peak duration time,global_positive_Batch2_QC11.mzXML Peak height,global_positive_Batch2_QC11.mzXML Peak area,global_positive_Batch2_QC11.mzXML Peak charge,global_positive_Batch2_QC11.mzXML Peak # data points,global_positive_Batch2_QC11.mzXML Peak FWHM,global_positive_Batch2_QC11.mzXML Peak tailing factor,global_positive_Batch2_QC11.mzXML Peak asymmetry factor,global_positive_Batch2_QC11.mzXML Peak m/z min,global_positive_Batch2_QC11.mzXML Peak m/z max
1,315.0786057,1.975705556,1-NAPHTHYLAMINE,1-NAPHTHYLAMINE,ID: ;Name: Glycodeoxycholic acid (GDCA);Molecular formula: C26H43NO5;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,315.0788 m/z @1.96 [global_positive_Batch1_C32.mzXML],315.0788422,1.959083333,1.890316667,2.04145,0.151133333,32560569.46,138169661,1,12,0.057483887,1.098885119,1.529691018,315.0787354,315.07901,DETECTED,315.0788 m/z @1.98 [global_positive_Batch1_C31.mzXML],315.0787964,1.9849,1.9024,2.067983333,0.165583333,27516947.6,116206707.9,1,13,0.051942138,1.003535354,1.907574415,315.0786743,315.07901,DETECTED,315.0787 m/z @1.99 [global_positive_Batch1_A2.mzXML],315.0787354,1.994733333,1.89935,2.74135,0.842,48964242.86,679175375.9,1,62,0.095467285,3.876869303,5.526461812,315.0783691,315.0792236,DETECTED,315.0788 m/z @2.01 [global_positive_Batch1_A1.mzXML],315.0787964,2.012983333,1.9582,2.77945,0.82125,48273167.77,592164647.5,1,60,0.096622929,6.006882349,8.146746292,315.0783386,315.0795593,DETECTED,315.0782 m/z @1.94 [global_positive_Batch2_QC10.mzXML],315.0781555,1.943066667,1.873,2.012533333,0.139533333,11615329.13,46694568.32,1,11,0.053909597,0.995718363,1.200593163,315.0780029,315.0785217,DETECTED,315.0783 m/z @1.96 [global_positive_Batch2_QC11.mzXML],315.0783081,1.959466667,1.876433333,2.02905,0.152616667,15902508.74,63596983.43,1,12,0.049729664,0.91900843,0.856242741,315.0780945,315.0785828
2,293.0967431,1.973588889,1-NAPHTHYLAMINE,1-NAPHTHYLAMINE,ID: ;Name: Glycodeoxycholic acid (GDCA);Molecular formula: C26H43NO5;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,4,DETECTED,293.0970 m/z @1.96 [global_positive_Batch1_C32.mzXML],293.0969849,1.959083333,1.904233333,2.04145,0.137216667,29657613.34,126284130.9,1,11,0.059729732,1.250835612,1.501671225,293.0968933,293.0971375,DETECTED,293.0970 m/z @1.98 [global_positive_Batch1_C31.mzXML],293.0969696,1.9849,1.91605,2.067983333,0.151933333,25547337.34,110305482.8,1,12,0.05526113,1.103364803,1.206729605,293.0968628,293.0971069,DETECTED,293.0969 m/z @1.98 [global_positive_Batch1_A2.mzXML],293.0969238,1.981433333,1.913016667,2.755883333,0.842866667,157689838.2,887707906.6,1,62,0.04685881,1.420339152,3.04276412,293.0965881,293.0973816,DETECTED,293.0970 m/z @2.00 [global_positive_Batch1_A1.mzXML],293.0969543,1.9996,1.9582,2.77945,0.82125,159026064.7,829099233,1,60,0.048068015,5.011084396,1.881052463,293.0965881,293.0976257,ESTIMATED,293.0963 m/z @1.96 [global_positive_Batch2_QC10.mzXML],293.0962618,1.95705,1.943066667,2.111133333,0.168066667,6006259.5,22509924.63,0,13,0.02670589,6.009535161,11.01907032,293.0961304,293.0964966,ESTIMATED,293.0964 m/z @1.96 [global_positive_Batch2_QC11.mzXML],293.0963643,1.959466667,1.93195,2.0853,0.15335,7330468.5,26669254.53,0,12,0.045724462,2.786493035,7.175079879,293.0962219,293.0966492
3,205.0967959,8.845925,1-NAPHTHYLAMINE,1-NAPHTHYLAMINE,ID: ;Name: Monobutyl phthalate (mBP);Molecular formula: C12H14O4;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,2,DETECTED,205.0969 m/z @8.87 [global_positive_Batch1_C32.mzXML],205.0969238,8.867733333,8.777766667,9.490633333,0.712866667,13534257.71,74245767.22,1,45,0.083374921,1.034350435,1.085967146,205.0966339,205.0971832,DETECTED,205.0968 m/z @8.82 [global_positive_Batch1_C31.mzXML],205.0968475,8.818633333,8.728116667,9.698383333,0.970266667,17702529.43,94892320.94,1,61,0.084238006,1.16436612,1.239478332,205.0964813,205.097168,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESTIMATED,205.0968 m/z @8.88 [global_positive_Batch1_A1.mzXML],205.0968369,8.8775,8.826166667,8.894516667,0.06835,672.4391479,2009.064319,0,5,0.048865563,0.665746753,0.331493506,205.0965271,205.0970612,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESTIMATED,205.0966 m/z @8.82 [global_positive_Batch2_QC11.mzXML],205.0965753,8.819833333,8.805533333,10.0387,1.233166667,8363658,49115625.4,0,76,0.084211885,7.221640634,11.5577309,205.0963745,205.0967865
4,188.0701733,8.8354,1-NAPHTHYLAMINE,1-NAPHTHYLAMINE,ID: 11953814p;Name: Octanoylcarnitine;Molecular formula: C15H29NO4;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,2,DETECTED,188.0703 m/z @8.87 [global_positive_Batch1_C32.mzXML],188.0703125,8.867733333,8.777766667,9.558383333,0.780616667,13338570.34,76498777.25,1,49,0.087493526,1.055891898,1.101742438,188.0700531,188.070694,DETECTED,188.0702 m/z @8.82 [global_positive_Batch1_C31.mzXML],188.0702209,8.818633333,8.728116667,9.514533333,0.786416667,17140739.66,95045189.43,1,50,0.084556807,1.170188419,1.240407778,188.0699463,188.0705109,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESTIMATED,188.0700 m/z @8.82 [global_positive_Batch2_QC11.mzXML],188.0699865,8.819833333,8.805533333,9.8185,1.012966667,9085021,56951869.29,0,63,0.090468232,7.382018574,12.1833327,188.0697937,188.0701294
5,162.1116994,1.899902778,5-OXO-L-PROLINE,5-OXO-L-PROLINE;Pyroglutamic Acid,ID: 311p;Name: CITRATE;Molecular formula: C6H8O7;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,162.1118 m/z @1.89 [global_positive_Batch1_C32.mzXML],162.1117783,1.890316667,1.86265,1.986333333,0.123683333,12190379.4,41002915.88,1,10,0.055063578,2.065919286,2.386781708,162.1117249,162.1119843,DETECTED,162.1118 m/z @1.92 [global_positive_Batch1_C31.mzXML],162.111763,1.91605,1.8747,1.9987,0.124,14016142.03,49294101.15,1,10,0.055801521,1.375917653,1.504614273,162.1116638,162.1119385,DETECTED,162.1117 m/z @1.91 [global_positive_Batch1_A2.mzXML],162.1117401,1.913016667,1.885066667,1.981433333,0.096366667,16110441.61,56214385.23,1,8,0.06645984,1.723911747,2.447823494,162.1116333,162.1118622,DETECTED,162.1118 m/z @1.93 [global_positive_Batch1_A1.mzXML],162.1118317,1.9306,1.88825,2.026416667,0.138166667,12869059.26,51892144.59,1,11,0.066019755,1.555834975,1.510533976,162.1116486,162.1119843,DETECTED,162.1115 m/z @1.87 [global_positive_Batch2_QC10.mzXML],162.111496,1.873,1.72945,1.95705,0.2276,8890974.957,34961833.28,1,17,0.058807712,1.48397765,2.103130328,162.1114044,162.1117249,DETECTED,162.1116 m/z @1.88 [global_positive_Batch2_QC11.mzXML],162.1115875,1.876433333,1.762016667,1.959466667,0.19745,9440699.204,36652686.81,1,15,0.061265717,1.526971775,2.119783281,162.1114655,162.1118469
6,203.0517972,1.871994444,CITRATE,CITRATE,ID: 6049p;Name: EDTA;Molecular formula: C10H16N2O8;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,203.0519 m/z @1.86 [global_positive_Batch1_C32.mzXML],203.0519257,1.86265,1.792916667,1.959083333,0.166166667,11977009.64,67438434.81,1,13,0.093470265,1.191443595,1.619781218,203.0517273,203.0520782,DETECTED,203.0519 m/z @1.89 [global_positive_Batch1_C31.mzXML],203.0519257,1.888333333,1.8188,1.9849,0.1661,12239562.96,67217784.02,1,13,0.087768203,1.194391179,1.388782359,203.0517426,203.0520782,DETECTED,203.0519 m/z @1.89 [global_positive_Batch1_A2.mzXML],203.0518723,1.885066667,1.8162,1.96795,0.15175,14946853.23,78137144.84,1,12,0.089063055,1.101766699,1.203533398,203.0517273,203.052124,DETECTED,203.0518 m/z @1.89 [global_positive_Batch1_A1.mzXML],203.0518188,1.88825,1.81735,1.972383333,0.155033333,13559884.17,69559930.37,1,12,0.085365438,1.09332393,1.411315853,203.0516052,203.0521851,DETECTED,203.0516 m/z @1.86 [global_positive_Batch2_QC10.mzXML],203.0516205,1.85915,1.714633333,2.5457,0.831066667,8316423.971,129004961,1,60,0.205370786,2.519332575,4.175252123,203.0513763,203.052063,DETECTED,203.0516 m/z @1.85 [global_positive_Batch2_QC11.mzXML],203.0516205,1.848516667,1.716883333,1.959466667,0.242583333,8430279.043,59175948.76,1,18,0.116217404,1.021586218,1.252773894,203.0514679,203.0517578
7,204.1223522,1.991805556,EDTA,EDTA,ID: 7405p;Name: 5-OXO-L-PROLINE;Molecular formula: C5H7NO3;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,4,DETECTED,204.1224 m/z @1.97 [global_positive_Batch1_C32.mzXML],204.1223755,1.97285,1.945383333,2.31655,0.371166667,11138506.76,51292235.7,1,28,0.06021762,4.684012287,4.616259785,204.1221924,204.1224976,DETECTED,204.1223 m/z @2.00 [global_positive_Batch1_C31.mzXML],204.1223297,1.9987,1.956933333,2.290233333,0.3333,9223259.021,39136838.15,1,25,0.051986864,2.93364954,2.249113249,204.1222382,204.1226654,DETECTED,204.1224 m/z @1.99 [global_positive_Batch1_A2.mzXML],204.122406,1.994733333,1.96795,2.372266667,0.404316667,1805402.336,10518032.41,1,31,0.066502186,7.721490987,7.713487332,204.1223297,204.1225739,DETECTED,204.1224 m/z @2.01 [global_positive_Batch1_A1.mzXML],204.1223602,2.012983333,1.972383333,2.362966667,0.390583333,3014656.4,15774150.6,0,30,0.055140936,4.273118587,4.744058056,204.1222687,204.1228333,ESTIMATED,204.1223 m/z @2.00 [global_positive_Batch2_QC10.mzXML],204.1223211,1.998566667,1.998566667,3.33325,1.334683333,814669,23552324.41,0,94,0.466636362,,,204.1218567,204.1227875,ESTIMATED,204.1223 m/z @1.97 [global_positive_Batch2_QC11.mzXML],204.1223205,1.973,1.945733333,3.354083333,1.40835,3453613.5,33131160.74,0,99,0.073731306,15.05642645,19.67806477,204.1218567,204.1226959
8,116.9849618,1.568763889,Glycodeoxycholic acid (GDCA),Glycodeoxycholic acid (GDCA);Chenodeoxycholyglycine (GCDCA),ID: 8640p;Name: 1-NAPHTHYLAMINE;Molecular formula: C10H9N;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,116.9827 m/z @1.58 [global_positive_Batch1_C32.mzXML],116.9827385,1.584883333,1.494916667,1.629,0.134083333,87947.99174,498054.1571,0,10,0.099661725,0.745183401,0.490366803,116.980957,116.9832077,DETECTED,116.9855 m/z @1.60 [global_positive_Batch1_C31.mzXML],116.9854813,1.596216667,1.48675,1.888333333,0.401583333,8944780.529,80611320.49,1,28,0.138435717,1.394424705,1.792877228,116.9853287,116.9856796,DETECTED,116.9855 m/z @1.59 [global_positive_Batch1_A2.mzXML],116.985466,1.594083333,1.501016667,1.871283333,0.370266667,7908720.386,61964345.03,1,26,0.115112479,1.452260758,1.890163725,116.9852829,116.9857254,DETECTED,116.9854 m/z @1.58 [global_positive_Batch1_A1.mzXML],116.9854431,1.580433333,1.503366667,1.88825,0.384883333,8543322.414,70792258.58,1,27,0.126366269,1.79345151,2.209885074,116.9852753,116.9857101,DETECTED,116.9853 m/z @1.53 [global_positive_Batch2_QC10.mzXML],116.9853058,1.534583333,1.422033333,1.8173,0.395266667,5743593.35,61309078.47,0,27,0.17268711,1.623737886,1.863686357,116.9850845,116.9855347,DETECTED,116.9853 m/z @1.52 [global_positive_Batch2_QC11.mzXML],116.9853363,1.522383333,1.425633333,1.82045,0.394816667,5371879.171,55263487.11,0,27,0.1650839,1.836502267,2.266941027,116.9851608,116.9854889
9,116.0701269,1.966677778,Glycodeoxycholic acid (GDCA),Glycodeoxycholic acid (GDCA);Chenodeoxycholyglycine (GCDCA),ID: 8640p;Name: 1-NAPHTHYLAMINE;Molecular formula: C10H9N;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,116.0703 m/z @1.96 [global_positive_Batch1_C32.mzXML],116.0702553,1.959083333,1.931666667,2.577816667,0.64615,8405296.452,30821901.12,1,48,0.046103653,3.051427298,1.908558766,116.0701065,116.0703354,DETECTED,116.0702 m/z @1.97 [global_positive_Batch1_C31.mzXML],116.0702057,1.97115,1.9432,2.358933333,0.415733333,6822511.273,25848573.02,1,31,0.04392236,3.903518906,2.247007122,116.070137,116.0702667,DETECTED,116.0702 m/z @1.98 [global_positive_Batch1_A2.mzXML],116.0702248,1.981433333,1.95395,2.799883333,0.845933333,7332285.294,32019965.11,1,62,0.042248838,4.52351103,2.528505512,116.0699997,116.0704346,DETECTED,116.0702 m/z @2.00 [global_positive_Batch1_A1.mzXML],116.0701904,1.9996,1.972383333,2.3769,0.404516667,8332612.732,28203612.26,1,31,0.050586752,3.531438289,1.879493701,116.0699768,116.0702591,DETECTED,116.0699 m/z @1.94 [global_positive_Batch2_QC10.mzXML],116.069931,1.943066667,1.886916667,1.998566667,0.11165,5613554.668,16822418.62,1,9,0.046630774,1.129894701,1.043001001,116.0698395,116.0700378,DETECTED,116.0700 m/z @1.95 [global_positive_Batch2_QC11.mzXML],116.0699539,1.945733333,1.9043,2.01495,0.11065,5788041.57,17501236.84,1,9,0.047300386,1.335277554,1.427025906,116.0699005,116.0700607
10,118.0648638,8.82575,Monobutyl phthalate (mBP),Monobutyl phthalate (mBP),ID: 8640p;Name: 1-NAPHTHYLAMINE;Molecular formula: C10H9N;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,3,DETECTED,118.0650 m/z @8.87 [global_positive_Batch1_C32.mzXML],118.0649605,8.867733333,8.777766667,9.240533333,0.462766667,5629202.921,32607378.34,1,30,0.089033121,1.050032853,1.094762855,118.0647202,118.0650482,DETECTED,118.0649 m/z @8.82 [global_positive_Batch1_C31.mzXML],118.0649033,8.818633333,8.728116667,9.216716667,0.4886,7716209,42074345.54,1,32,0.082693845,1.165459827,1.221413345,118.0646286,118.0649796,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DETECTED,118.0647 m/z @8.79 [global_positive_Batch2_QC11.mzXML],118.0647278,8.790883333,8.698366667,9.144166667,0.4458,4328546.75,38811293.42,1,30,0.141480844,1.925142512,2.658198897,118.0646133,118.0648041
11,219.0256119,1.853552778,nan,Octanoylcarnitine,ID: 8640p;Name: 1-NAPHTHYLAMINE;Molecular formula: C10H9N;Identification method: Positive_Garrett_MetaboliteStd_Library_RP_edited01152019JG.csv,,6,DETECTED,219.0257 m/z @1.85 [global_positive_Batch1_C32.mzXML],219.0257416,1.848883333,1.777916667,1.959083333,0.181166667,5102100.014,24904670.87,1,14,0.069780421,1.276420855,1.643722738,219.025589,219.026123,DETECTED,219.0258 m/z @1.86 [global_positive_Batch1_C31.mzXML],219.0257568,1.860916667,1.788716667,1.9849,0.196183333,4618621.675,22783378.41,1,15,0.068266914,1.540911497,2.055433627,219.0256195,219.0260925,DETECTED,219.0257 m/z @1.87 [global_positive_Batch1_A2.mzXML],219.0256805,1.871283333,1.786966667,1.96795,0.180983333,5981708.379,32438899.94,1,14,0.082169936,1.073235817,1.252287674,219.0255585,219.0259857,DETECTED,219.0256 m/z @1.87 [global_positive_Batch1_A1.mzXML],219.0256348,1.874533333,1.787183333,1.972383333,0.1852,5798477.086,29196466.78,1,14,0.074913808,1.162227569,1.349075821,219.0254364,219.0263367,DETECTED,219.0254 m/z @1.83 [global_positive_Batch2_QC10.mzXML],219.0253906,1.8311,1.684916667,1.943066667,0.25815,4006061.043,28150115.39,1,19,0.097831844,0.989832524,1.094214287,219.0252075,219.02565,DETECTED,219.0255 m/z @1.83 [global_positive_Batch2_QC11.mzXML],219.0254669,1.8346,1.672166667,1.959466667,0.2873,4036513.014,27958234.79,1,21,0.095186216,1.054107491,1.244102744,219.0253143,219.0257721
12,288.2881436,11.14181667,nan,,,,2,DETECTED,288.2886 m/z @11.13 [global_positive_Batch1_C32.mzXML],288.2886047,11.12725,10.9393,11.67533333,0.736033333,5012054.036,38190617.44,1,51,0.122063111,1.009627812,1.098522315,288.2870789,288.2893372,DETECTED,288.2886 m/z @11.11 [global_positive_Batch1_C31.mzXML],288.2885742,11.1068,10.9584,11.71153333,0.753133333,6157837.864,47069099.96,1,52,0.107234913,1.112968222,1.391927322,288.2871399,288.2893066,ESTIMATED,288.2878 m/z @11.15 [global_positive_Batch1_A2.mzXML],288.2877502,11.14776667,11.0766,11.17618333,0.099583333,8918590,29909448.1,0,8,0.127247212,0.699648712,0.397142393,288.2875671,288.2878418,ESTIMATED,288.2876 m/z @11.19 [global_positive_Batch1_A1.mzXML],288.2876451,11.18545,11.06885,11.18545,0.1166,4437129,14908955.65,0,9,0.053680942,0.5,,288.2874756,288.2878723,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,84.95930576,1.58515,nan,,,,4,DETECTED,84.9593 m/z @1.56 [global_positive_Batch1_C32.mzXML],84.95931244,1.555233333,1.460866667,1.890316667,0.42945,4911800.736,42327556.82,0,30,0.127357001,1.586417437,2.216732128,84.959198,84.95944977,DETECTED,84.9593 m/z @1.60 [global_positive_Batch1_C31.mzXML],84.95930481,1.596216667,1.48675,1.9024,0.41565,4726848.793,41360105.73,0,29,0.127841221,1.373290758,1.739990047,84.95921326,84.9594574,DETECTED,84.9593 m/z @1.59 [global_positive_Batch1_A2.mzXML],84.95930481,1.594083333,1.501016667,1.885066667,0.38405,4240594.436,32172936.23,0,27,0.110214423,1.394494254,1.815620789,84.95918274,84.95947266,DETECTED,84.9593 m/z @1.60 [global_positive_Batch1_A1.mzXML],84.95930099,1.595066667,1.503366667,1.902583333,0.399216667,4220647.443,33570906.61,0,28,0.116806413,1.43866454,1.596074545,84.95922089,84.95944977,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,118.0857368,2.044733333,nan,,,,4,DETECTED,118.0857 m/z @2.00 [global_positive_Batch1_C32.mzXML],118.085743,2,1.86265,2.18065,0.318,4802530.557,45461815.58,1,24,0.218982798,1.157626502,1.315253003,118.0856857,118.0858459,DETECTED,118.0857 m/z @2.03 [global_positive_Batch1_C31.mzXML],118.0857315,2.026216667,1.888333333,2.179733333,0.2914,4973783.971,43300738.99,1,22,0.109007856,1.056690439,1.842093197,118.0856781,118.0858002,DETECTED,118.0857 m/z @2.05 [global_positive_Batch1_A2.mzXML],118.0857162,2.04835,1.96795,2.413233333,0.445283333,5989380.971,57768221.32,1,34,0.097452492,2.769174959,6.287221403,118.0856628,118.0858994,DETECTED,118.0857 m/z @2.05 [global_positive_Batch1_A1.mzXML],118.0857048,2.053066667,1.9996,2.390783333,0.391183333,6290220.886,52095791.52,1,30,0.087089622,3.658198254,7.261541493,118.0856628,118.0857849,ESTIMATED,118.0857 m/z @2.07 [global_positive_Batch2_QC10.mzXML],118.0857286,2.069383333,1.98465,3.488366667,1.503716667,2511277.75,102445386.7,0,105,0.891649455,8.480128054,12.40101804,118.0854721,118.085968,ESTIMATED,118.0858 m/z @2.07 [global_positive_Batch2_QC11.mzXML],118.0857969,2.071383333,1.9868,10.4822,8.4954,2518936.25,145513827.5,0,504,0.434400057,9.360838508,12.56482415,118.085495,118.0860367
15,102.9698359,1.571186111,nan,,,,6,DETECTED,102.9699 m/z @1.56 [global_positive_Batch1_C32.mzXML],102.9698868,1.555233333,1.460866667,1.904233333,0.443366667,4763614.636,41007282.34,0,31,0.124677158,1.614658436,2.333143348,102.9697189,102.9700623,DETECTED,102.9699 m/z @1.60 [global_positive_Batch1_C31.mzXML],102.969902,1.596216667,1.48675,1.91605,0.4293,4532206.836,41307089.88,0,30,0.137902316,1.426520922,1.878550348,102.9697418,102.9700623,DETECTED,102.9699 m/z @1.61 [global_positive_Batch1_A2.mzXML],102.9698792,1.608716667,1.501016667,1.9403,0.439283333,4311223.45,33785920.94,0,31,0.114112355,1.265189087,1.481137836,102.9697189,102.9700928,DETECTED,102.9698 m/z @1.60 [global_positive_Batch1_A1.mzXML],102.969841,1.595066667,1.503366667,1.916583333,0.413216667,3921063.314,32139895.87,0,29,0.121827025,1.484120739,1.644874057,102.9697418,102.9700623,DETECTED,102.9697 m/z @1.53 [global_positive_Batch2_QC10.mzXML],102.9697266,1.534583333,1.422033333,1.8173,0.395266667,2683448.621,28701261.08,0,27,0.175653801,1.682703579,2.192045396,102.9695663,102.9699173,DETECTED,102.9698 m/z @1.54 [global_positive_Batch2_QC11.mzXML],102.96978,1.5373,1.425633333,1.876433333,0.4508,2990190.9,32113187.33,0,31,0.18399731,1.951922462,2.225887939,102.9696121,102.9698792
16,302.2859904,11.23026111,nan,,,,6,DETECTED,302.2861 m/z @11.18 [global_positive_Batch1_C32.mzXML],302.2861481,11.18428333,10.89458333,11.73583333,0.84125,4695774.471,36492156.3,1,58,0.118695515,1.508195196,2.063355914,302.2850952,302.2866516,DETECTED,302.2861 m/z @11.18 [global_positive_Batch1_C31.mzXML],302.2861328,11.17561667,10.89748333,11.7564,0.858916667,4800255.429,36697021.52,1,59,0.115589051,1.49078114,2.056276656,302.2848511,302.2866516,DETECTED,302.2862 m/z @11.26 [global_positive_Batch1_A2.mzXML],302.2861938,11.26135,10.94288333,11.83471667,0.891833333,5738857.436,46723670.87,1,62,0.124278685,1.572058258,2.302968527,302.2851257,302.2865601,DETECTED,302.2862 m/z @11.27 [global_positive_Batch1_A1.mzXML],302.2862091,11.26976667,10.97875,11.84093333,0.862183333,5987497.114,48805600.38,1,60,0.12657682,1.42900184,2.068633991,302.2848816,302.2865601,DETECTED,302.2857 m/z @11.25 [global_positive_Batch2_QC10.mzXML],302.2857056,11.246,10.80821667,11.67506667,0.86685,961760.9089,13891477.54,1,59,0.255019736,0.826909396,0.53853205,302.2844238,302.286438,DETECTED,302.2856 m/z @11.24 [global_positive_Batch2_QC11.mzXML],302.285553,11.24455,10.79015,11.6571,0.86695,924584.7768,14450843.42,1,59,0.270992372,0.877189344,0.575239702,302.2844543,302.2864075
